season,team,c2c_games,total_tz,avg_tz,max_tz,home_games,points_for_home,points_against_home,home_wins,away_games,points_for_away,points_against_away,away_wins,total_games,total_wins,win_pct,points_for,points_against,point_diff,coast,made_playoffs
2021,ARI,0,10,1.0,2,8,182,196,3,10,278,204,8,18,11,0.6111111111111112,460,400,60,Central,1
2021,ATL,1,5,0.5555555555555556,3,8,133,206,2,9,180,253,5,17,7,0.4117647058823529,313,459,-146,East,0
2021,BAL,1,7,0.875,3,9,230,215,5,8,157,177,3,17,8,0.47058823529411764,387,392,-5,East,0
2021,BUF,0,4,0.4444444444444444,1,10,284,166,7,9,282,182,5,19,12,0.631578947368421,566,348,218,East,1
2021,CAR,0,5,0.5555555555555556,2,8,145,188,2,9,159,216,3,17,5,0.29411764705882354,304,404,-100,East,0
2021,CHI,0,7,0.7777777777777778,2,8,153,157,3,9,158,250,3,17,6,0.35294117647058826,311,407,-96,Central,0
2021,CIN,1,9,0.9,3,11,296,282,6,10,256,176,7,21,13,0.6190476190476191,552,458,94,East,1
2021,CLE,1,6,0.75,3,9,170,157,6,8,179,214,2,17,8,0.47058823529411764,349,371,-22,East,0
2021,DAL,0,7,0.7777777777777778,2,9,308,200,5,9,239,181,7,18,12,0.6666666666666666,547,381,166,Central,1
2021,DEN,0,12,1.5,2,9,187,163,4,8,148,159,3,17,7,0.4117647058823529,335,322,13,Central,0
2021,DET,0,6,0.6666666666666666,2,8,177,223,3,9,148,244,0,17,3,0.17647058823529413,325,467,-142,Central,0
2021,GB,0,5,0.5555555555555556,2,9,255,147,8,9,205,237,5,18,13,0.7222222222222222,460,384,76,Central,1
2021,HOU,0,7,0.875,2,9,183,250,2,8,97,202,2,17,4,0.23529411764705882,280,452,-172,Central,0
2021,IND,0,7,0.875,2,9,248,217,4,8,203,148,5,17,9,0.5294117647058824,451,365,86,Central,0
2021,JAX,1,6,0.75,3,9,149,209,3,8,104,248,0,17,3,0.17647058823529413,253,457,-204,East,0
2021,KC,0,9,1.125,2,12,343,242,9,8,245,206,5,20,14,0.7,588,448,140,Central,1
2021,LA,0,0,0.0,0,10,267,194,7,11,300,253,9,21,16,0.7619047619047619,567,447,120,Central,1
2021,LAC,4,17,2.125,3,9,276,235,5,8,198,224,4,17,9,0.5294117647058824,474,459,15,West,0
2021,LV,4,19,2.111111111111111,3,9,200,232,5,9,193,233,5,18,10,0.5555555555555556,393,465,-72,West,1
2021,MIA,1,5,0.625,3,9,201,178,6,8,140,195,3,17,9,0.5294117647058824,341,373,-32,East,0
2021,MIN,0,8,0.8888888888888888,2,8,196,174,5,9,229,252,3,17,8,0.47058823529411764,425,426,-1,Central,0
2021,NE,1,5,0.5555555555555556,3,9,281,175,4,9,198,175,6,18,10,0.5555555555555556,479,350,129,East,1
2021,NO,0,9,1.0,2,8,164,172,3,9,200,163,6,17,9,0.5294117647058824,364,335,29,Central,0
2021,NYG,1,7,0.7777777777777778,3,8,112,151,3,9,146,265,1,17,4,0.23529411764705882,258,416,-158,East,0
2021,NYJ,0,4,0.5,2,9,178,261,3,8,132,243,1,17,4,0.23529411764705882,310,504,-194,East,0
2021,PHI,1,7,0.7,3,8,214,221,3,10,245,195,6,18,9,0.5,459,416,43,East,0
2021,PIT,1,7,0.7777777777777778,3,9,187,178,6,9,177,262,3,18,9,0.5,364,440,-76,East,0
2021,SEA,2,15,1.6666666666666667,3,8,206,179,3,9,189,187,4,17,7,0.4117647058823529,395,366,29,West,0
2021,SF,3,20,1.6666666666666667,3,8,203,175,4,12,277,237,8,20,12,0.6,480,412,68,West,1
2021,TB,0,2,0.2222222222222222,1,10,324,182,8,9,245,216,6,19,14,0.7368421052631579,569,398,171,East,1
2021,TEN,0,6,0.75,2,10,225,170,7,8,210,203,5,18,12,0.6666666666666666,435,373,62,Central,1
2021,WAS,1,7,0.7777777777777778,3,8,163,194,3,9,172,240,4,17,7,0.4117647058823529,335,434,-99,East,0
2022,ARI,0,8,1.0,2,9,176,258,1,8,164,191,3,17,4,0.23529411764705882,340,449,-109,Central,0
2022,ATL,1,4,0.5,3,9,224,194,6,8,141,192,1,17,7,0.4117647058823529,365,386,-21,East,0
2022,BAL,0,1,0.1,1,8,153,139,5,10,214,200,5,18,10,0.5555555555555556,367,339,28,East,1
2022,BUF,0,3,0.375,1,10,298,205,8,8,201,139,6,18,14,0.7777777777777778,499,344,155,East,1
2022,CAR,1,4,0.5,3,9,199,178,5,8,148,196,2,17,7,0.4117647058823529,347,374,-27,East,0
2022,CHI,0,4,0.5,1,9,176,225,2,8,150,238,1,17,3,0.17647058823529413,326,463,-137,Central,0
2022,CIN,0,4,0.36363636363636365,1,8,225,143,7,11,264,229,7,19,14,0.7368421052631579,489,372,117,East,1
2022,CLE,0,1,0.1111111111111111,1,8,180,166,4,9,181,215,3,17,7,0.4117647058823529,361,381,-20,East,0
2022,DAL,0,7,0.7,2,9,270,177,8,10,240,198,5,19,13,0.6842105263157895,510,375,135,Central,1
2022,DEN,0,11,1.2222222222222223,2,8,144,146,4,9,143,213,1,17,5,0.29411764705882354,287,359,-72,Central,0
2022,DET,0,4,0.5,1,9,298,228,5,8,155,199,4,17,9,0.5294117647058824,453,427,26,Central,0
2022,GB,0,5,0.625,1,9,215,192,5,8,155,179,3,17,8,0.47058823529411764,370,371,-1,Central,0
2022,HOU,0,6,0.6666666666666666,2,8,122,211,0,9,167,209,3,17,3,0.17647058823529413,289,420,-131,Central,0
2022,IND,0,6,0.6666666666666666,2,8,154,178,2,9,135,249,2,17,4,0.23529411764705882,289,427,-138,Central,0
2022,JAX,1,9,0.9,3,9,210,184,6,10,245,223,4,19,10,0.5263157894736842,455,407,48,East,0
2022,KC,0,11,1.1,2,10,251,195,9,10,333,249,8,20,17,0.85,584,444,140,Central,1
2022,LA,0,0,0.0,0,9,197,205,4,8,110,179,1,17,5,0.29411764705882354,307,384,-77,Central,0
2022,LAC,3,17,1.7,3,8,174,181,5,10,247,234,5,18,10,0.5555555555555556,421,415,6,West,1
2022,LV,2,13,1.4444444444444444,3,8,217,209,4,9,178,209,2,17,6,0.35294117647058826,395,418,-23,West,0
2022,MIA,2,8,0.8,3,8,173,124,6,10,255,309,3,18,9,0.5,428,433,-5,East,0
